Module,ROI
1,L_SFL_ROI
1,L_d32_ROI
1,L_8BM_ROI
1,L_8Av_ROI
1,L_8BL_ROI
1,L_8C_ROI
1,L_44_ROI
1,L_45_ROI
1,L_47l_ROI
1,L_a47r_ROI
1,L_IFSp_ROI
1,L_a9-46v_ROI
1,L_9a_ROI
1,L_a10p_ROI
1,L_s6-8_ROI
1,L_STSdp_ROI
1,L_STSvp_ROI
1,L_TE1p_ROI
1,L_TE2a_ROI
1,L_PFm_ROI
1,L_p10p_ROI
1,L_p47r_ROI
1,L_TE1m_ROI
2,L_RSC_ROI
2,L_POS2_ROI
2,L_PCV_ROI
2,L_7m_ROI
2,L_POS1_ROI
2,L_23d_ROI
2,L_v23ab_ROI
2,L_d23ab_ROI
2,L_31pv_ROI
2,L_a24_ROI
2,L_p32_ROI
2,L_10r_ROI
2,L_8Ad_ROI
2,L_9m_ROI
2,L_9p_ROI
2,L_10d_ROI
2,L_10v_ROI
2,L_PreS_ROI
2,L_PHA1_ROI
2,L_PHA3_ROI
2,L_TE1a_ROI
2,L_TPOJ3_ROI
2,L_PGi_ROI
2,L_PGs_ROI
2,L_PHA2_ROI
2,L_31pd_ROI
2,L_31a_ROI
2,L_25_ROI
2,L_s32_ROI
2,L_STSva_ROI
3,L_47m_ROI
3,L_10pp_ROI
3,L_11l_ROI
3,L_13l_ROI
3,L_OFC_ROI
3,L_47s_ROI
3,L_AAIC_ROI
3,L_EC_ROI
3,L_PeEc_ROI
3,L_TGd_ROI
3,L_TF_ROI
3,L_pOFC_ROI
3,L_TGv_ROI
1,R_d32_ROI
1,R_8BM_ROI
1,R_8Av_ROI
1,R_8BL_ROI
1,R_9p_ROI
1,R_8C_ROI
1,R_44_ROI
1,R_45_ROI
1,R_47l_ROI
1,R_a47r_ROI
1,R_IFSp_ROI
1,R_9a_ROI
1,R_a10p_ROI
1,R_s6-8_ROI
1,R_STSvp_ROI
1,R_TE1p_ROI
1,R_TE2a_ROI
1,R_IP1_ROI
1,R_PFm_ROI
1,R_PGs_ROI
1,R_p10p_ROI
1,R_p47r_ROI
1,R_TE1m_ROI
2,R_RSC_ROI
2,R_PCV_ROI
2,R_7m_ROI
2,R_POS1_ROI
2,R_23d_ROI
2,R_v23ab_ROI
2,R_d23ab_ROI
2,R_31pv_ROI
2,R_a24_ROI
2,R_p32_ROI
2,R_10r_ROI
2,R_8Ad_ROI
2,R_9m_ROI
2,R_10d_ROI
2,R_10v_ROI
2,R_PreS_ROI
2,R_PHA1_ROI
2,R_PHA3_ROI
2,R_TE1a_ROI
2,R_TPOJ3_ROI
2,R_PGi_ROI
2,R_PHA2_ROI
2,R_31pd_ROI
2,R_31a_ROI
2,R_25_ROI
2,R_STSva_ROI
2,R_p24_ROI
3,R_47m_ROI
3,R_10pp_ROI
3,R_11l_ROI
3,R_13l_ROI
3,R_OFC_ROI
3,R_47s_ROI
3,R_EC_ROI
3,R_PeEc_ROI
3,R_TGd_ROI
3,R_TF_ROI
3,R_s32_ROI
3,R_pOFC_ROI
3,R_TGv_ROI
