"","sub","intact","scrambled","rtdiff"
"1","2",846.886255924171,848.353773584906,1.46751766073498
"2","3",719.222222222222,813.13679245283,93.914570230608
"3","4",938.381395348837,1024.16203703704,85.7806416881997
"4","7",492.078212290503,545.971098265896,53.8928859753932
"5","9",1083.00934579439,1284.07407407407,201.064728279682
"6","10",580.0625,672.430939226519,92.3684392265193
"7","11",1100,1253.16766467066,153.167664670659
"8","15",412.781609195402,475.463687150838,62.6820779554357
"9","18",838.416666666667,869.470238095238,31.0535714285714
"10","19",504.850299401198,495.469273743017,-9.38102565818087
"11","20",671.81308411215,729.545454545455,57.7323704333049
"12","22",303.436893203883,310.966507177034,7.52961397315005
"13","24",691.468292682927,723.369458128079,31.9011654451519
"14","25",685.525821596244,684.75355450237,-0.772267093874461
"15","28",507.023255813953,585.431279620853,78.4080238068996
"16","29",658.172248803828,684.655813953488,26.4835651496606
"17","30",333.608695652174,337.098591549296,3.48989589712181
"18","33",893.919811320755,828.042654028436,-65.8771572923187
"19","34",1029.7572815534,1031.2243902439,1.46710869050435
"20","35",559.117370892019,592.514150943396,33.3967800513774
"21","36",1081.2009569378,1259.60096153846,178.400004600662
"22","37",702.502369668247,883.602870813397,181.100501145151
"23","38",933.643192488263,941.341121495327,7.6979290070642
"24","40",627.882075471698,658.874418604651,30.992343132953
"25","41",549.789719626168,604.403755868545,54.6140362423764
"26","42",943.177570093458,980.495327102804,37.3177570093458
